Batata Asada,"batata, aceite de oliva, sal, pimienta, romero",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Precalienta el horno a 200°C, lava y corta las batatas en rodajas, colócalas en una bandeja, rocía con aceite de oliva, sal, pimienta y romero, y hornea durante 25-30 minutos hasta que estén doradas y tiernas",
Agua Fresca de Pepino y Limón,"Pepino, Limón, Agua, Hojas de menta, Azúcar",Bebida,"Flexitariano, Vegetariano, Vegano",Tritura el pepino y el jugo de limón en una licuadora. Cuela la mezcla y añade agua y hojas de menta al gusto. Endulza con azúcar si es necesario. Sirve con hielo,
Batata Asada,"batata, aceite de oliva, sal, pimienta, romero",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Precalienta el horno a 200°C, lava y corta las batatas en rodajas, colócalas en una bandeja, rocía con aceite de oliva, sal, pimienta y romero, y hornea durante 25-30 minutos hasta que estén doradas y tiernas",
Batido de Frutas Tropicales,"Piña, Mango, Plátano, Leche de coco, Hielo",Bebida,"Flexitariano, Vegetariano",Corta frutas y licúa con leche de coco y hielo. Sirve frío,
Batido de Plátano y Fresas,"plátano, fresas, leche, yogur, miel",Bebida,"Vegetariano, Lacto-vegetariano, Omnívoro","Coloca el plátano, las fresas, la leche, el yogur y la miel en una licuadora, mezcla hasta obtener una textura suave y sirve frío",
Batido de Piña y Coco,"Piña, Leche de coco, Yogur natural, Miel, Hielo",Bebida,"Flexitariano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Omnívoro",Licúa la piña con leche de coco y yogur natural hasta obtener una mezcla homogénea. Endulza con miel si lo deseas. Sirve frío,
Burritos de Pollo,"tortillas, pollo, frijoles, queso, salsa",Plato principal,"Flexitariano, Omnívoro","Cocina el pollo hasta que esté bien cocido, calienta las tortillas, coloca el pollo, los frijoles, el queso y la salsa en las tortillas, enrolla y sirve",
Bruschetta,"pan, tomate, albahaca, ajo, aceite de oliva",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tosta las rebanadas de pan, frota con ajo, agrega tomate picado, albahaca y un chorrito de aceite de oliva",
Chili con Carne,"carne molida, frijoles, tomate, cebolla, chile en polvo",Plato principal,"Flexitariano, Omnívoro","Cocina la carne con cebolla hasta que esté dorada, agrega los frijoles, el tomate y el chile en polvo, cocina a fuego lento durante 20 minutos",
Croquetas de Jamón,"jamón, leche, harina, mantequilla, pan rallado",Aperitivo,Omnívoro,"Haz una bechamel con leche, harina y mantequilla, añade el jamón picado, deja enfriar, forma croquetas, pásalas por pan rallado y fríelas hasta dorar",
Ensalada Caprese,"tomate, mozzarella, albahaca, aceite de oliva, sal",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Corta el tomate y la mozzarella en rodajas, acomoda en un plato alternando, añade hojas de albahaca, rocía con aceite de oliva y sazona con sal",
Ensalada César,"lechuga, pollo, crutones, queso parmesano, aderezo César",Acompañamiento,"Flexitariano, Omnívoro","Mezcla la lechuga con pollo cocido en trozos, añade crutones y queso parmesano rallado, y sirve con aderezo César",
Ensalada de Frutas,"fresas, plátano, manzana, uvas, jugo de naranja",Postre,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Corta las frutas en trozos, mezcla en un bol y rocía con jugo de naranja",
Ensalada de Pepino y Yogur,"pepino, yogur, ajo, menta, sal",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Pela y corta el pepino, mézclalo con yogur, ajo picado, menta y sal al gusto",
Ensalada de Quinoa,"quinoa, pepino, tomate, cebolla, limón",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina la quinoa según las instrucciones del paquete, mezcla con pepino, tomate y cebolla picados, y adereza con jugo de limón",
Espaguetis Aglio e Olio,"espaguetis, ajo, aceite de oliva, guindilla, perejil",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina los espaguetis, mientras tanto, sofríe ajo y guindilla en aceite de oliva, mezcla con los espaguetis cocidos y añade perejil picado",
Falafel,"garbanzos, ajo, cebolla, cilantro, comino",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tritura los garbanzos con ajo, cebolla, cilantro y comino, forma bolitas y fríelas hasta que estén doradas",
Galletas de Mantequilla,"mantequilla, azúcar, harina, huevo, esencia de vainilla",Postre,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla la mantequilla con el azúcar, añade el huevo y la vainilla, incorpora la harina, forma galletas y hornea a 180°C por 10-12 minutos",
Gambas al Ajillo,"gambas, ajo, guindilla, aceite de oliva, perejil",Aperitivo,"Pescetariano, Flexitariano, Omnívoro","Sofríe el ajo y la guindilla en aceite de oliva, añade las gambas y cocina hasta que estén rosadas, espolvorea con perejil picado",
Gazpacho,"tomate, pepino, pimiento, ajo, aceite de oliva",Sopa,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Licua todos los ingredientes hasta obtener una mezcla homogénea, refrigera y sirve frío",
Guacamole,"aguacate, tomate, cebolla, cilantro, limón",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Machaca los aguacates, mezcla con tomate, cebolla, cilantro picados y jugo de limón, sazona al gusto",
Hummus,"garbanzos, tahini, limón, ajo, aceite de oliva",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tritura los garbanzos con tahini, jugo de limón, ajo y aceite de oliva hasta obtener una pasta suave",
Mousse de Chocolate,"chocolate, nata, azúcar, huevo, mantequilla",Postre,Omnívoro,"Derrite el chocolate con la mantequilla, deja enfriar, bate las yemas con azúcar y añade al chocolate, monta las claras y la nata, incorpora suavemente a la mezcla de chocolate y refrigera",
Omelette de Queso,"huevo, queso, leche, sal, pimienta",Desayuno,"Vegetariano, Ovo-vegetariano, Omnívoro","Bate los huevos con leche, sal y pimienta, vierte en una sartén caliente, añade el queso rallado y cocina hasta que el huevo esté cuajado",
Pan de Plátano,"plátanos, harina, azúcar, huevo, mantequilla",Postre,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla los plátanos machacados con azúcar, huevo y mantequilla derretida, añade la harina, vierte en un molde y hornea a 180°C por 50-60 minutos",
Pancakes,"harina, leche, huevo, azúcar, mantequilla",Desayuno,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla la harina con leche, huevo y azúcar, vierte pequeñas porciones en una sartén con mantequilla derretida y cocina hasta que aparezcan burbujas, voltea y cocina hasta dorar",
Pasta al Pesto,"pasta, albahaca, piñones, ajo, queso parmesano",Plato principal,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina la pasta, mientras tanto, tritura la albahaca, piñones, ajo y queso parmesano con aceite de oliva, mezcla con la pasta cocida",
Pasta Carbonara,"pasta, panceta, huevo, queso parmesano, ajo",Plato principal,"Flexitariano, Omnívoro","Cocina la pasta, dora la panceta con ajo, mezcla el huevo con queso parmesano rallado, combina todo con la pasta caliente fuera del fuego",
Pollo al Limón,"pechuga de pollo, limón, ajo, aceite de oliva, sal",Plato principal,"Flexitariano, Omnívoro","Marina el pollo con jugo de limón, ajo picado y aceite de oliva, cocina en una sartén hasta que esté dorado y cocido",
Puré de Papas,"papas, mantequilla, leche, sal, pimienta",Acompañamiento,"Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Hierve las papas peladas hasta que estén tiernas, machácalas con mantequilla y leche caliente, sazona con sal y pimienta",
Quesadillas,"tortillas de maíz, queso, pollo desmenuzado, cebolla, salsa",Aperitivo,"Flexitariano, Omnívoro","Coloca una tortilla en una sartén caliente, añade queso, pollo, cebolla y salsa, cubre con otra tortilla y cocina hasta que esté dorada por ambos lados",
Ratatouille,"berenjena, calabacín, pimiento rojo, tomate, cebolla",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Corta todas las verduras en rodajas, coloca en un molde alternando, rocía con aceite de oliva y hornea a 180°C durante 45 minutos",
Salmón al Horno,"filete de salmón, limón, aceite de oliva, sal, pimienta",Plato principal,"Pescetariano, Flexitariano, Omnívoro","Coloca el salmón en una bandeja para hornear, exprime limón, rocía con aceite de oliva, sazona con sal y pimienta, hornea a 180°C durante 15-20 minutos",
Tacos de Camarones,"tortillas de maíz, camarones, aguacate, repollo, salsa",Aperitivo,"Pescetariano, Flexitariano, Omnívoro","Cocina los camarones hasta que estén rosados, arma los tacos con camarones, aguacate, repollo rallado y salsa",
Udon Salteado,"fideos udon, pollo, pimiento, cebolla, salsa de soja",Plato principal,"Flexitariano, Omnívoro","Cocina los fideos según las instrucciones del paquete, saltea el pollo con pimiento y cebolla, agrega los fideos cocidos y la salsa de soja, saltea hasta que esté bien combinado",
Vichyssoise,"papa, puerro, caldo de verduras, crema, mantequilla",Sopa,"Vegetariano, Lacto-vegetariano"," Sofríe el puerro en mantequilla, agrega las papas en cubos y el caldo de verduras, cocina hasta que las papas estén tiernas, tritura, añade la crema, calienta y sirve frío",
Wok de Verduras,"brócoli, zanahoria, pimiento, champiñones, salsa de soja",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Saltea todas las verduras en un wok con un poco de aceite, añade salsa de soja y cocina hasta que estén tiernas",
Arroz con Leche,"arroz, leche, azúcar, canela, vainilla",Postre,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina el arroz en leche con azúcar, canela y vainilla a fuego lento hasta que esté cremoso","Cocina el arroz en leche con azúcar, canela y vainilla a fuego lento hasta que esté cremoso"
Arroz Frito,"arroz cocido, huevo, cebolla, zanahoria, salsa de soja",Plato principal,"Ovo-vegetariano, Flexitariano, Omnívoro","Saltea la cebolla y la zanahoria, agrega el arroz y el huevo batido, cocina hasta que el huevo esté cocido, añade la salsa de soja y mezcla bien",
Brócoli al Vapor con Ajo,"brócoli, ajo, aceite de oliva, sal, pimienta",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina el brócoli al vapor, saltea el ajo en aceite de oliva, mezcla con el brócoli, sazona con sal y pimienta",
